cell_id,lat,lng,deforestation_2020,deforestation_2021,deforestation_2022,deforestation_2023,total_deforestation,geometry
0,-19.26873952461055,50.47481445127933,0.0736918668980531,0.07112642752668376,0.0673634592766104,0.04095892834245971,0.24974246655452298,POINT(50.47481445127933 -19.26873952461055)
1,-18.372266063211853,44.117249123539494,0.026211121338623543,0.0388344933880905,0.03441477236964923,0.03846410410060641,0.12735693138827348,POINT(44.117249123539494 -18.372266063211853)
2,-20.5345655513272,49.79850916619949,0.015303148583657037,0.015451310792246847,0.009917350446077281,0.008783152772820442,0.05152731680564937,POINT(49.79850916619949 -20.5345655513272)
3,-17.93460968881582,43.03377595436642,0.03288304044443812,0.03620656703084953,0.03373425339272659,0.02822839037154902,0.14270652551792293,POINT(43.03377595436642 -17.93460968881582)
4,-17.437129436798312,44.567812885426214,0.08186508410792798,0.08372941368025422,0.08543240798855747,0.09145708607822259,0.38263762104453247,POINT(44.567812885426214 -17.437129436798312)
5,-20.033281960586265,45.3030379436763,0.10551802982143643,0.12094887049027253,0.12879086131665143,0.06553286606974464,0.4796985383800876,POINT(45.3030379436763 -20.033281960586265)
6,-19.039119925431535,45.19893312158434,0.08252877890209846,0.07024953292005294,0.1291917904563707,0.1393175278374258,0.38022511706480544,POINT(45.19893312158434 -19.039119925431535)
7,-20.208924557391832,45.20625718828175,0.11354890000490982,0.09344143454705739,0.14133004383600628,0.11580387452438001,0.49270251494521816,POINT(45.20625718828175 -20.208924557391832)
8,-18.942620063131855,49.150507691144114,0.02703309884162909,0.01951860215240882,0.035954622902732054,0.020551823558602942,0.10834141151307614,POINT(49.150507691144114 -18.942620063131855)
9,-18.709962246345555,47.608416550896344,0.0950142100665985,0.10399035088021207,0.1065928213533158,0.07037093192072373,0.41101247923822987,POINT(47.608416550896344 -18.709962246345555)
10,-18.336720592394247,44.23329298949834,0.16178119432344892,0.18417388061981557,0.19177614200517312,0.1600099717070676,0.5829673915481527,POINT(44.23329298949834 -18.336720592394247)
11,-16.971357850986667,50.59415626459648,0.11617230595832288,0.1136959825218847,0.08846896775828215,0.11477241073155908,0.5562495716129454,POINT(50.59415626459648 -16.971357850986667)
12,-19.548444923306516,43.650476912051076,0.058523416121183176,0.07712016115386029,0.0570330535514459,0.050303756307912395,0.2576592822261099,POINT(43.650476912051076 -19.548444923306516)
13,-19.006290025041594,43.845405878758235,0.07362848360891415,0.10156672742166616,0.05671421047478807,0.12783874968892264,0.34390980656861914,POINT(43.845405878758235 -19.006290025041594)
14,-20.629345915539126,50.14366321663026,0.10387987704331347,0.08307133188320223,0.14792266418954958,0.14254707138877734,0.4724570708061281,POINT(50.14366321663026 -20.629345915539126)
15,-18.11681086258407,45.36278860871529,0.124220534436299,0.08342121325543832,0.09937262553164776,0.06901490485083864,0.44824401410295284,POINT(45.36278860871529 -18.11681086258407)
16,-18.58005888262688,44.34793564420422,0.1372871381273522,0.11755985826965029,0.08515318672182325,0.10610445004478292,0.5233379184903323,POINT(44.34793564420422 -18.58005888262688)
17,-17.66636870655554,50.38509153251351,0.06062527938756774,0.06010844713428639,0.07272586113210562,0.0539828803239602,0.22210266033497833,POINT(50.38509153251351 -17.66636870655554)
18,-18.375300084755658,50.244093880184934,0.029024333153833844,0.030927729587334602,0.028054192838410263,0.03398972240940498,0.10697277772544894,POINT(50.244093880184934 -18.375300084755658)
19,-19.98296855032342,43.230918311284306,0.07985093558687965,0.0756911158128319,0.04908799062772378,0.04810328963030734,0.3165255339640588,POINT(43.230918311284306 -19.98296855032342)
20,-19.212190841242073,45.03989225419117,0.015185814657329853,0.01279611209384052,0.014498820947997275,0.020269078269823226,0.05760034398457118,POINT(45.03989225419117 -19.212190841242073)
21,-19.339886693225644,45.11657607749905,0.04329135668335477,0.05178559960317086,0.0351591442989034,0.02590692420363506,0.17960364832336995,POINT(45.11657607749905 -19.339886693225644)
22,-20.20320310010095,49.286675846032324,0.04371303759981668,0.06360185292469421,0.06302933914136959,0.05731079149125873,0.20226081363171008,POINT(49.286675846032324 -20.20320310010095)
23,-16.81935225359793,49.04705815437326,0.14803891278592674,0.10717998829647983,0.17346012062304875,0.1371978349157139,0.5280179305051219,POINT(49.04705815437326 -16.81935225359793)
24,-20.74481153150559,49.39279142763868,0.1425359080801469,0.1096057331705247,0.08465774684787654,0.08956632290833336,0.492166486891875,POINT(49.39279142763868 -20.74481153150559)
25,-17.85087132783605,49.03926277348757,0.0786734381430904,0.08490142461038996,0.04226523390776586,0.07054519936271574,0.27918036163070353,POINT(49.03926277348757 -17.85087132783605)
